fight_id,fighter_id,knockdowns,sig_str_landed,sig_str_att,total_str_landed,total_str_att,takedowns_landed,takedowns_att,sub_att,reversals,control_time,sig_head_landed,sig_head_att,sig_body_landed,sig_body_att,sig_leg_landed,sig_leg_att,sig_distance_landed,sig_distance_att,sig_clinch_landed,sig_clinch_att,sig_ground_landed,sig_ground_att
5a3b530c73106c5c,b23fca14c7b79935,0,3,11,4,13,0,2,0,0,0:00,2,10,0,0,1,1,1,4,2,7,0,0
f046dfa306dc7acb,5f87a5c00b3d17ed,0,15,61,18,65,0,0,0,0,0:01,13,59,0,0,2,2,9,52,6,9,0,0
f046dfa306dc7acb,04c15b52c3cc1cab,0,15,28,35,51,1,1,0,0,1:50,8,20,1,1,6,7,11,20,0,0,4,8
a158e4ff7ea93d43,6506c1d34da9c013,0,34,44,49,60,0,3,0,0,2:14,12,19,12,14,10,11,16,23,18,21,0,0
a158e4ff7ea93d43,73c7cfa551289285,0,12,26,20,34,0,0,0,0,0:00,4,17,4,5,4,4,4,16,8,10,0,0
41b9240c854b0956,f7a7f7118d4b01b6,2,24,40,32,48,2,3,0,0,2:27,16,29,4,5,4,6,10,20,2,2,12,18
41b9240c854b0956,2924886ee9c4c527,0,2,10,19,28,0,2,0,0,0:24,1,5,1,5,0,0,0,8,2,2,0,0
afb9d3476c5caafa,07f72a2a7591b409,1,20,27,26,34,4,6,0,0,1:19,10,16,8,9,2,2,4,9,10,10,6,8
afb9d3476c5caafa,c6a33ff198aaaeeb,0,9,19,17,27,0,1,0,0,0:31,0,6,3,5,6,8,1,9,8,10,0,0
aa161809e78bef96,349aaa3da11eb587,0,3,5,9,12,0,1,0,0,1:19,3,5,0,0,0,0,2,4,0,0,1,1
aa161809e78bef96,9bcf8603ceb25680,0,10,14,31,36,1,2,2,0,3:15,2,5,0,0,8,9,0,3,8,9,2,2
92e9c53671ac8fe7,c47df9303d318c67,0,24,47,39,62,1,2,1,0,2:33,13,34,2,4,9,9,14,30,4,8,6,9
92e9c53671ac8fe7,8355922d564b152c,0,19,57,24,62,0,1,0,0,0:01,17,53,1,3,1,1,17,53,2,4,0,0
c598261fac8cf23a,6f018c039b4d5d80,0,17,26,35,48,2,4,0,0,3:33,4,11,9,10,4,5,4,11,11,13,2,2
c598261fac8cf23a,b2acebbef8da14ea,0,4,6,11,13,0,0,0,0,0:22,0,1,1,1,3,4,3,5,1,1,0,0
e6dd15ef9fd7927e,8a59d346dc976a10,0,9,20,51,69,2,2,0,0,3:59,9,20,0,0,0,0,0,3,0,0,9,17
e6dd15ef9fd7927e,cc6f9d1e89f3449a,0,4,6,19,22,0,1,1,0,0:05,3,4,1,1,0,1,1,3,2,2,1,1
08f5bdfe45082ec5,fc31f896cde2bc2e,0,6,15,16,25,3,3,0,0,0:51,1,10,2,2,3,3,5,12,1,2,0,1
08f5bdfe45082ec5,a56607a451e4c70d,0,14,31,21,38,1,3,1,0,1:14,6,19,5,7,3,5,8,21,0,2,6,8
1cb28e867dd749b8,20bcc9966affb19c,1,12,28,36,54,3,3,0,0,2:38,12,28,0,0,0,0,4,13,5,8,3,7
